DUT=1, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2115.24192, OutputPower=2033.3828, Efficiency=96.1300350931018
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2128.399416, OutputPower=2016.0904, Efficiency=94.72331108739601
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2149.081605, OutputPower=2038.4687999999999, Efficiency=94.8530197856307
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2142.0830969999997, OutputPower=2039.2855000000002, Efficiency=95.2010453215392
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2156.137434, OutputPower=2023.4097000000002, Efficiency=93.8441895258148
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2115.8794800000005, OutputPower=2033.5827000000004, Efficiency=96.11051665381243
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2150.2681199999997, OutputPower=2038.4687999999999, Efficiency=94.8006800193829
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2118.6536580000006, OutputPower=2043.5548, Efficiency=96.45534994752782
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2120.311908, OutputPower=2069.7985000000003, Efficiency=97.61764258317793
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2114.546148, OutputPower=2054.946, Efficiency=97.18142126827681
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2114.3724030000003, OutputPower=2039.2855000000002, Efficiency=96.4487380324553
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2115.915318, OutputPower=2062.4725, Efficiency=97.47424589512802
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2116.189152, OutputPower=2049.8595000000005, Efficiency=96.86560854272825
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2116.748205, OutputPower=2033.5827000000004, Efficiency=96.0710723739577
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2118.6756360000004, OutputPower=2034.4, Efficiency=96.02224925004988
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2115.4739759999998, OutputPower=2028.2968, Efficiency=95.87907121576428
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2106.057294, OutputPower=2031.3483999999999, Efficiency=96.45266564148847
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2111.083128, OutputPower=2015.2712999999999, Efficiency=95.4614848307385
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2107.9741320000003, OutputPower=2019.142, Efficiency=95.78590027972885
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2140.65819, OutputPower=2037.8522000000003, Efficiency=95.19745887128296
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2117.671875, OutputPower=2030.1316000000002, Efficiency=95.86620212349943
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2131.3159560000004, OutputPower=2015.2712999999999, Efficiency=94.55525795350445
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2113.461504, OutputPower=2015.0731999999998, Efficiency=95.34468435721269
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2139.241104, OutputPower=2038.4687999999999, Efficiency=95.28934331845186
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2104.958394, OutputPower=2048.4394, Efficiency=97.31495909082562
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2111.26608, OutputPower=2085.465, Efficiency=98.77793328636247
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2128.228047, OutputPower=2033.1829000000005, Efficiency=95.53407130716197
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2106.0519480000003, OutputPower=2061.2524000000003, Efficiency=97.87281847237702
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2097.930879, OutputPower=2066.3394, Efficiency=98.4941601596017
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2109.0706560000003, OutputPower=2061.0498000000002, Efficiency=97.72312720470565
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2102.861277, OutputPower=2040.5031999999999, Efficiency=97.03460814643171
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2102.58774, OutputPower=2033.5827000000004, Efficiency=96.71808987148381
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2107.335186, OutputPower=2026.0632000000003, Efficiency=96.14337640542773
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2108.3415210000003, OutputPower=2009.5920000000003, Efficiency=95.31624644221955
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2141.619381, OutputPower=2009.5920000000003, Efficiency=93.83516127229147
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2136.334464, OutputPower=2032.5654000000002, Efficiency=95.14265833610594
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2111.0828309999997, OutputPower=2036.8348, Efficiency=96.48294089129467
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2121.1517249999997, OutputPower=2039.8870000000002, Efficiency=96.16883959585685
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2117.8447290000004, OutputPower=2021.3751000000002, Efficiency=95.44491493266595
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2116.748205, OutputPower=2016.0904, Efficiency=95.2446963336388
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2118.758499, OutputPower=2024.0290000000005, Efficiency=95.52900913224846
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2117.76345, OutputPower=2037.2513000000004, Efficiency=96.19824631499804
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2118.758499, OutputPower=2023.8300000000004, Efficiency=95.51961683954053
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2111.899086, OutputPower=2043.5548, Efficiency=96.76384698241212
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2107.5114060000005, OutputPower=2025.0461000000003, Efficiency=96.08707664569573
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2134.762542, OutputPower=2024.0290000000005, Efficiency=94.81284031261593
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2134.9892520000003, OutputPower=2036.4343999999999, Efficiency=95.38382444278457
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2117.76345, OutputPower=2005.3267999999998, Efficiency=94.6907833355987
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2113.0857, OutputPower=2022.813, Efficiency=95.72792054766165
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2128.3076429999996, OutputPower=2034.0, Efficiency=95.56889046044742
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2114.3311200000007, OutputPower=2019.142, Efficiency=95.49790857734712
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2124.997875, OutputPower=2029.9320000000002, Efficiency=95.52630729101318
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2122.883532, OutputPower=2013.8580000000002, Efficiency=94.86427162128462
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2136.7605600000006, OutputPower=2031.3483999999999, Efficiency=95.06673035934355
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2130.05133, OutputPower=2059.0152000000003, Efficiency=96.66505079011408
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2139.518997, OutputPower=2054.34, Efficiency=96.01877818708613
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2157.345927, OutputPower=2051.289, Efficiency=95.08391650719261
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2127.195675, OutputPower=2059.0152000000003, Efficiency=96.79481884053757
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2154.606201, OutputPower=2068.9848, Efficiency=96.02612296575303
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2124.4386240000003, OutputPower=2036.2342, Efficiency=95.84810674200959
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2124.2556720000002, OutputPower=2036.4343999999999, Efficiency=95.86578615947316
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2125.7192880000002, OutputPower=2031.1487, Efficiency=95.55112528103474
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2119.9315500000002, OutputPower=2055.5591000000004, Efficiency=96.96346563642587
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2130.0453899999998, OutputPower=2054.542, Efficiency=96.45531544283196
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2128.2030000000004, OutputPower=2038.068, Efficiency=95.76473672859213
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2150.562645, OutputPower=2035.4172, Efficiency=94.64579907645518
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2148.6324419999996, OutputPower=2019.9606, Efficiency=94.01145400745095
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2126.5678170000006, OutputPower=2014.056, Efficiency=94.70922976918162
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2121.2256780000002, OutputPower=2004.3099, Efficiency=94.48829140564456
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2122.517628, OutputPower=2028.0974000000003, Efficiency=95.55149852446834
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2122.517628, OutputPower=2023.8300000000004, Efficiency=95.35044483503344
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2122.15905, OutputPower=2017.5295999999998, Efficiency=95.06966973092801
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2123.898975, OutputPower=2044.1700000000003, Efficiency=96.24610323096937
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2122.067475, OutputPower=2026.2624, Efficiency=95.48529553707995
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2143.8242099999998, OutputPower=2047.4223, Efficiency=95.50327356364728
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2144.0091420000003, OutputPower=2041.1190000000001, Efficiency=95.20103995899845
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2117.6495999999997, OutputPower=2063.8988, Efficiency=97.4617708236528
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2125.278342, OutputPower=2028.0974000000003, Efficiency=95.42737814245322
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2121.9687719999997, OutputPower=2028.915, Efficiency=95.61474357078805
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2121.877296, OutputPower=2042.9521, Efficiency=96.28040715885014
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2123.889768, OutputPower=2038.2684000000002, Efficiency=95.96865292681235
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2150.824104, OutputPower=2042.1360000000002, Efficiency=94.94667630896146
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2118.11886, OutputPower=2025.8640000000003, Efficiency=95.64449088565314
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2141.159427, OutputPower=2041.5204, Efficiency=95.3464919172504
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2111.887998, OutputPower=2028.7154999999998, Efficiency=96.0616993856319
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2127.9392639999996, OutputPower=2021.9948000000002, Efficiency=95.02126466707278
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2121.1517249999997, OutputPower=2033.3828, Efficiency=95.86220429375463
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2124.5301000000004, OutputPower=2026.0632000000003, Efficiency=95.36523864736019
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2121.665832, OutputPower=2034.2000000000003, Efficiency=95.87749254944876
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2121.877296, OutputPower=2034.4, Efficiency=95.87736311779642
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2131.7958089999997, OutputPower=2024.847, Efficiency=94.98315886782007
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2127.29814, OutputPower=2036.2342, Efficiency=95.71926763401393
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2127.848778, OutputPower=2058.6104000000005, Efficiency=96.74608559048647
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2118.4843680000004, OutputPower=2053.7268, Efficiency=96.94321237493313
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2117.010654, OutputPower=2059.83, Efficiency=97.29899073053978
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2121.236964, OutputPower=2036.8507, Efficiency=96.02183700208234
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2114.0578800000003, OutputPower=2030.9489999999998, Efficiency=96.0687509653236
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2135.1033, OutputPower=2043.153, Efficiency=95.69340275011517
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2149.526808, OutputPower=2057.391, Efficiency=95.71367020606147
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2124.448425, OutputPower=2039.2855000000002, Efficiency=95.99129242217307
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2114.8969050000005, OutputPower=2014.4788999999998, Efficiency=95.25187233653828
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2122.9750080000003, OutputPower=2032.7831, Efficiency=95.7516264835841
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2116.26459, OutputPower=2019.5634, Efficiency=95.43057184546096
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2119.1100480000005, OutputPower=2043.969, Efficiency=96.45412242413187
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2141.915391, OutputPower=2020.5803, Efficiency=94.33520616594701
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2147.5228500000003, OutputPower=2026.881, Efficiency=94.38227863326343
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2119.1240070000003, OutputPower=2055.357, Efficiency=96.99087892971993
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2120.9625360000005, OutputPower=2053.3230000000003, Efficiency=96.81090378297941
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2120.951547, OutputPower=2040.9183, Efficiency=96.22654053020665
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2121.2256780000002, OutputPower=2047.6236, Efficiency=96.53020992705518
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2116.424079, OutputPower=2020.7790000000002, Efficiency=95.48081691429293
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2136.5764200000003, OutputPower=2032.3656, Efficiency=95.12253252331597
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2140.6176, OutputPower=2031.9660000000001, Efficiency=94.92428727111279
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2133.63018, OutputPower=2032.1658000000002, Efficiency=95.2445188978345
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2116.7368200000005, OutputPower=2033.1829000000005, Efficiency=96.0527015351866
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2113.99848, OutputPower=2030.1316000000002, Efficiency=96.0327842809045
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2113.54209, OutputPower=2039.2855000000002, Efficiency=96.486628283802
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2107.517742, OutputPower=2016.0904, Efficiency=95.66184710202074
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2110.885524, OutputPower=2041.5336000000002, Efficiency=96.71455779048681
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2122.2432, OutputPower=2043.3539, Efficiency=96.28273988579632
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2116.6524719999998, OutputPower=2038.6692, Efficiency=96.31572622187173
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2137.352283, OutputPower=2032.5654000000002, Efficiency=95.09735087503121
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2113.9910549999995, OutputPower=2127.1743, Efficiency=100.6236187692857
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2118.8439359999998, OutputPower=2046.4052000000001, Efficiency=96.58121418150546
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2116.5606989999997, OutputPower=2024.0506, Efficiency=95.62922532560926
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2117.7414719999997, OutputPower=2042.9521, Efficiency=96.4684371067556
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2115.275877, OutputPower=2031.1487, Efficiency=96.02287446688449
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2117.816217, OutputPower=2049.6580000000004, Efficiency=96.78167461119222
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2103.8640480000004, OutputPower=2044.5720000000001, Efficiency=97.18175477848176
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2104.3139039999996, OutputPower=2054.7439999999997, Efficiency=97.64436741563249
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2110.962546, OutputPower=2064.713, Efficiency=97.80907784992979
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2115.2609279999997, OutputPower=2051.8941000000004, Efficiency=97.00430206216151
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2133.032616, OutputPower=2062.2698, Efficiency=96.68252536462856
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2111.69673, OutputPower=2052.7096, Efficiency=97.20664766100197
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2101.9497840000004, OutputPower=2040.9183, Efficiency=97.09643472624462
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2113.623963, OutputPower=2033.1829000000005, Efficiency=96.19416393794928
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2105.5030920000004, OutputPower=2026.6816999999999, Efficiency=96.25641053202497
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2106.0519480000003, OutputPower=2024.2497, Efficiency=96.11584851562264
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2114.617824, OutputPower=2043.153, Efficiency=96.62043783094492
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2107.14966, OutputPower=2026.6816999999999, Efficiency=96.18119388824047
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2112.719004, OutputPower=2002.0792000000004, Efficiency=94.7631557348362
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2113.360722, OutputPower=2016.7110000000002, Efficiency=95.42672857530283
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2107.6985160000004, OutputPower=2006.7383000000002, Efficiency=95.20993086849997
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2108.9722500000003, OutputPower=2028.915, Efficiency=96.20396854439406
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2110.885524, OutputPower=2021.796, Efficiency=95.7795189276214
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2140.519986, OutputPower=2017.9264, Efficiency=94.27271939520215
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2103.772671, OutputPower=2047.221, Efficiency=97.31189249772319
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2110.3458750000004, OutputPower=2021.796, Efficiency=95.80401127374438
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2120.3914050000003, OutputPower=2018.3480000000002, Efficiency=95.18752034367918
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2112.994026, OutputPower=2040.7038, Efficiency=96.57877754927453
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2107.2449970000002, OutputPower=2046.4052000000001, Efficiency=97.11282755035057
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2136.646512, OutputPower=2041.1190000000001, Efficiency=95.5290914307308
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2140.376238, OutputPower=2035.8337999999999, Efficiency=95.11569806541648
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
DUT=1, InputPower=2109.985416, OutputPower=2018.3480000000002, Efficiency=95.65696448396686
DUT=2, InputPower=0.0, OutputPower=0.0, Efficiency=0
